24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기
Ⅰ.매출액,"388,851,845,940 ","238,976,466,010 ","22,210,967,788 ","66,341,830 ","212,270,514 ","416,486,911 ","9,208,461,040 ","659,942,840,033 ",,,"507,028,728,355 ",,"507,028,728,355 ",Ⅰ.매출액,"275,632,476,793 ","154,543,785,356 ","16,965,300,819 ","83,314,573 ","687,713,167 ","1,007,996,728 ","9,391,143,109 ","458,311,730,545 ",0 ,0 ,"898,501,706,698 ","507,028,728,355 ","391,472,978,342 ",Ⅰ.매출액,"417,280,479,430 ","250,154,344,675 ","15,559,373,116 ","109,416,853 ","8,274,778,080 ","778,636,750 ","8,255,931,011 ","700,412,959,915 ",0 ,0 ,"1,349,465,143,792 ","898,501,706,698 ","450,963,437,094 ",Ⅰ.매출액,"436,229,581,884 ","214,165,509,900 ","20,299,030,851 ","153,830,877 ",0 ,"827,059,269 ","10,212,966,406 ","681,887,979,187 ",0 ,0 ,"1,896,009,590,086 ","1,349,465,143,792 ","546,544,446,294 "
제품매출,"385,145,334,205 ",0 ,0 ,0 ,0 ,0 ,0 ,"385,145,334,205 ","152,821,040,931 ",,"232,324,293,274 ",,"232,324,293,274 ",제품매출,"273,122,392,241 ",0 ,0 ,0 ,0 ,0 ,0 ,"273,122,392,241 ","66,636,337,505 ",0 ,"438,810,348,010 ","232,324,293,274 ","206,486,054,736 ",제품매출,"414,181,501,004 ",0 ,0 ,0 ,0 ,0 ,0 ,"414,181,501,004 ","249,282,035,547 ",0 ,"603,709,813,467 ","438,810,348,010 ","164,899,465,457 ",제품매출,"430,737,134,767 ",0 ,0 ,0 ,0 ,0 ,0 ,"430,737,134,767 ","135,091,407,906 ",0 ,"899,355,540,328 ","603,709,813,467 ","295,645,726,861 "
상품매출,"2,638,416,549 ","238,976,466,010 ","22,210,967,788 ",0 ,0 ,0 ,"6,544,715,573 ","270,370,565,920 ",,,"270,370,565,920 ",,"270,370,565,920 ",상품매출,"1,470,747,367 ","154,543,785,356 ","16,965,300,819 ",0 ,0 ,0 ,"6,861,335,697 ","179,841,169,239 ","51,432,851 ",0 ,"450,160,302,308 ","270,370,565,920 ","179,789,736,388 ",상품매출,"2,212,084,224 ","250,154,344,675 ","15,559,373,116 ",0 ,0 ,0 ,"6,054,246,631 ","273,980,048,646 ",0 ,0 ,"724,140,350,954 ","450,160,302,308 ","273,980,048,646 ",상품매출,"4,226,212,944 ","214,165,509,900 ","20,299,030,851 ",0 ,0 ,0 ,"7,978,269,371 ","246,669,023,066 ","23,778,847 ",0 ,"970,785,595,173 ","724,140,350,954 ","246,645,244,219 "
수수료매출,"359,632,715 ",0 ,0 ,"66,341,830 ",0 ,0 ,0 ,"425,974,545 ","66,341,830 ",,"359,632,715 ",,"359,632,715 ",수수료매출,"356,282,218 ",0 ,0 ,"83,314,573 ",0 ,0 ,0 ,"439,596,791 ","83,314,573 ",0 ,"715,914,933 ","359,632,715 ","356,282,218 ",수수료매출,"301,908,818 ",0 ,0 ,"109,416,853 ",0 ,0 ,0 ,"411,325,671 ","109,416,853 ",0 ,"1,017,823,751 ","715,914,933 ","301,908,818 ",수수료매출,"457,625,630 ",0 ,0 ,"153,830,877 ",0 ,0 ,0 ,"611,456,507 ","153,830,877 ",0 ,"1,475,449,381 ","1,017,823,751 ","457,625,630 "
물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
임대매출,"68,412,771 ",0 ,0 ,0 ,0 ,0 ,0 ,"68,412,771 ",,,"68,412,771 ",,"68,412,771 ",임대매출,"69,650,958 ",0 ,0 ,0 ,0 ,0 ,0 ,"69,650,958 ",0 ,0 ,"138,063,729 ","68,412,771 ","69,650,958 ",임대매출,"69,685,499 ",0 ,0 ,0 ,0 ,0 ,0 ,"69,685,499 ",0 ,0 ,"207,749,228 ","138,063,729 ","69,685,499 ",임대매출,"70,296,363 ",0 ,0 ,0 ,0 ,0 ,0 ,"70,296,363 ",0 ,0 ,"278,045,591 ","207,749,228 ","70,296,363 "
기타매출,"640,049,700 ",0 ,0 ,0 ,"212,270,514 ","416,486,911 ","2,663,745,467 ","3,932,552,592 ","26,728,917 ",,"3,905,823,675 ",,"3,905,823,675 ",기타매출,"613,404,009 ",0 ,0 ,0 ,"687,713,167 ","1,007,996,728 ","2,529,807,412 ","4,838,921,316 ","67,667,274 ",0 ,"8,677,077,718 ","3,905,823,675 ","4,771,254,042 ",기타매출,"515,299,885 ",0 ,0 ,0 ,"8,274,778,080 ","778,636,750 ","2,201,684,380 ","11,770,399,095 ","58,070,421 ",0 ,"20,389,406,392 ","8,677,077,718 ","11,712,328,674 ",기타매출,"738,312,180 ",0 ,0 ,0 ,0 ,"827,059,269 ","2,234,697,035 ","3,800,068,484 ","74,515,263 ",0 ,"24,114,959,613 ","20,389,406,392 ","3,725,553,221 "
Ⅱ.매출원가,"147,627,921,735 ","173,679,290,723 ","9,231,211,168 ","60,310,754 ","2,107,858 ","2,714,089,430 ","2,030,524,971 ","335,345,456,639 ",,,"174,544,756,914 ",,"174,544,756,914 ",Ⅱ.매출원가,"89,805,551,180 ","103,635,362,658 ","7,228,479,572 ","80,826,403 ","537,240,712 ","2,816,863,691 ","2,144,389,927 ","206,248,714,143 ",0 ,0 ,"294,719,207,924 ","174,544,756,914 ","120,174,451,010 ",Ⅱ.매출원가,"158,791,343,028 ","198,826,449,288 ","7,135,087,025 ","91,457,472 ","11,990,497,530 ","1,614,416,865 ","2,240,697,810 ","380,689,949,018 ",0 ,0 ,"460,761,386,335 ","294,719,207,924 ","166,042,178,411 ",Ⅱ.매출원가,"147,388,053,811 ","188,024,511,432 ","8,471,847,191 ","116,113,910 ",0 ,"7,208,517,312 ","2,592,735,478 ","353,801,779,134 ",0 ,0 ,"649,017,053,962 ","460,761,386,335 ","188,255,667,626 "
제품매출원가,"142,846,256,748 ",0 ,0 ,0 ,0 ,0 ,0 ,"142,846,256,748 ","182,910,501,891 ","160,740,388,971 ","165,016,369,668 ",,"165,016,369,668 ",제품매출원가,"88,588,962,846 ",0 ,0 ,0 ,0 ,0 ,0 ,"88,588,962,846 ","110,863,842,230 ","85,993,436,731 ","278,475,738,013 ","165,016,369,668 ","113,459,368,345 ",제품매출원가,"157,745,471,541 ",0 ,0 ,0 ,0 ,0 ,0 ,"157,745,471,541 ","205,961,536,313 ","215,075,405,477 ","427,107,340,390 ","278,475,738,013 ","148,631,602,377 ",제품매출원가,"144,092,130,215 ",0 ,0 ,0 ,0 ,0 ,0 ,"144,092,130,215 ","196,496,358,623 ","165,429,997,597 ","602,265,831,631 ","427,107,340,390 ","175,158,491,241 "
기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기초제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
