24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 03월 31일,2023년 12월 31일,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 06월 30일,2023년 12월 31일,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 09월 30일,2023년 12월 31일,24.4Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인먼트,세르지오,단순합계,연결분개 DR,연결분개 CR,Dr,Cr,2024년 12월 31일,2023년 12월 31일
Ⅰ.유동자산,"669,591,523,884","211,428,834,004","43,691,405,044","44,947,704","16,640,350,225","3,939,303,781","33,105,543,506","978,441,908,148",,,"799,613,972,445","745,614,087,217",Ⅰ.유동자산,"485,999,005,811","177,683,113,420","40,575,947,111","50,352,847","17,269,068,309","3,341,925,519","37,121,119,063","762,040,532,080",,,"623,072,053,058","745,614,087,217",Ⅰ.유동자산,"583,614,920,586","298,701,809,218","43,268,660,114","55,536,852","11,083,444,951","7,878,107,020","33,198,013,391","977,800,492,132",,,"783,901,604,184","745,614,087,217",Ⅰ.유동자산,"441,579,228,992","256,681,379,190","48,824,371,535","107,418,970","11,083,444,951","1,019,412,140","40,431,247,802","799,726,503,580",,,,,6.37E+11,7.46E+11
(1)당좌자산,"437,142,860,591","75,319,165,540","10,512,533,494","44,947,704","16,620,728,276","3,939,091,061","28,861,933,204","572,441,259,870",,,"475,404,261,585","403,855,491,995",(1)당좌자산,"277,986,001,841","62,643,509,112","9,993,833,699","50,352,847","17,263,431,080","3,341,529,379","32,314,942,151","403,593,600,109",,,"329,597,775,154","403,855,491,995",(1)당좌자산,"312,785,193,759","124,220,442,768","9,182,975,915","55,536,852","11,077,772,642","7,877,710,880","28,047,575,716","493,247,208,532",,,"383,746,577,357","403,855,491,995",(1)당좌자산,"226,775,219,003","113,058,556,612","13,619,712,766","107,418,970","11,077,772,642","1,018,691,084","31,446,417,761","397,103,788,838",,,,,3.09E+11,4.04E+11
현금및현금성자산,"291,692,827,629","12,161,753,197","4,131,636,370","41,161,202","1,052,390,956","2,872,820,442","22,754,036,630","334,706,626,426",0,0,"334,706,626,426","219,989,971,000",현금및현금성자산,"161,519,031,898","27,174,677,679","3,742,612,806","24,101,535","2,293,135,598","2,758,396,960","23,099,352,901","220,611,309,377",0,0,"220,611,309,377","219,989,971,000",현금및현금성자산,"142,325,395,281","24,303,774,228","3,060,735,556","41,738,549","3,340,829,377","1,395,969,418","19,294,271,505","193,762,713,914",0,0,"190,421,884,537","219,989,971,000",현금및현금성자산,"61,500,260,766","29,229,396,188","6,073,141,958","30,227,105","3,340,829,377","118,961,712","22,880,561,595","123,173,378,701","28,286,349,000","28,286,349,000",,"3,340,829,377",1.20E+11,2.20E+11
기타유동금융자산,0,"13,647,015,818",0,0,0,0,0,"13,647,015,818",,,"13,647,015,818","21,076,902,000",기타유동금융자산,0,0,0,0,0,0,0,0,,,0,"21,076,902,000",기타유동금융자산,0,"5,662,200,000",0,0,0,0,0,"5,662,200,000",,,"5,662,200,000","21,076,902,000",기타유동금융자산,"350,000,000","6,038,100,000",0,0,0,0,0,"6,388,100,000",,,,,6388100000,21076902000
통화선도,0,0,0,0,0,0,0,0,,,0,0,통화선도,0,0,0,0,0,0,0,0,,,0,0,통화선도,0,0,0,0,0,0,0,0,,,0,0,통화선도,0,0,0,0,0,0,0,0,,,,,0,0
(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,0,0,(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,0,0,(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,0,0,(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0
매출채권,"109,223,830,060","7,225,112,922","3,399,040,278",0,"4,198,732,343","194,263,189","3,441,080,855","127,682,059,647",,"45,313,479,313","82,368,580,334","121,341,954,260",매출채권,"91,506,906,021","7,182,862,444","2,815,953,680","22,443,890","3,503,695,869","29,872,641","5,174,220,127","110,235,954,672",,"42,376,543,134","67,859,411,538","121,341,954,260",매출채권,"137,912,450,898","81,856,998,890","2,229,654,883","10,060,614","6,459,194,524","17,343,599","6,587,374,660","235,073,078,068",,"93,368,707,516","135,245,176,028","121,341,954,260",매출채권,"134,452,969,520","40,081,476,601","3,966,916,764","74,935,080","6,459,194,524","86,319,019","7,463,112,446","192,584,923,954",,"48,143,487,172",,"6,459,194,524",1.38E+11,1.21E+11
매출채권대손충당금,"-1,019,391,131",0,0,0,"-33,600,000",0,"-619,475,393","-1,672,466,524",,,"-1,672,466,524","-1,582,018,161",매출채권대손충당금,"-1,342,702,790",0,0,0,"-11,600,000",0,"-744,991,184","-2,099,293,974",,,"-2,099,293,974","-1,582,018,161",매출채권대손충당금,"-1,620,279,173",0,0,0,"-11,600,000",0,"-943,931,205","-2,575,810,378",,,"-2,564,210,378","-1,582,018,161",매출채권대손충당금,"-2,021,486,048",0,0,0,"-11,600,000",0,"-2,134,698,463","-4,167,784,511",,,,"-11,600,000",-4156184511,-1582018161
미수금,"19,721,532,735","2,010,874,782","115,598","3,129,472","3,000,000","68,619,610","1,575,361,119","23,382,633,316",,"1,547,397,412","21,835,235,904","21,339,929,697",미수금,"17,788,504,851",0,0,"3,146,762","278,040","97,111,380","1,493,473,352","19,382,514,385",,"3,110,012,597","16,272,501,788","21,339,929,697",미수금,"23,275,516,538",0,"187,615,381","3,089,129",0,"563,833,350","1,476,566,421","25,506,620,819",,"3,756,451,888","21,750,168,931","21,339,929,697",미수금,"19,829,406,842",0,0,"2,256,785",0,"145,782,737","1,550,460,451","21,527,906,815",,"2,143,246,070",,,19384660745,21339929697
미수금대손충당금,"-117,796,057",0,0,0,0,0,0,"-117,796,057",,,"-117,796,057","-60,362,594",미수금대손충당금,"-108,887,897",0,0,0,0,0,0,"-108,887,897",,,"-108,887,897","-60,362,594",미수금대손충당금,"-228,201,426",0,0,0,0,0,0,"-228,201,426",,,"-228,201,426","-60,362,594",미수금대손충당금,"-142,628,015",0,0,0,0,0,0,"-142,628,015",,,,,-142628015,-60362594
