24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기,24.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,2023년 누적,2023년 전분기 누적,2023년 당분기
Ⅰ.매출액,"388,851,845,940 ","238,976,466,010 ","22,210,967,788 ","66,341,830 ","212,270,514 ","416,486,911 ","9,208,461,040 ","659,942,840,033 ",,,"507,028,728,355 ",,"507,028,728,355 ","497,404,354,219 ",,"497,404,354,219 ",Ⅰ.매출액,"664,484,322,733 ","393,520,251,366 ","39,176,268,607 ","149,656,403 ","899,983,681 ","1,424,483,639 ","18,599,604,150 ","1,118,254,570,579 ",,,"898,501,706,698 ","507,028,728,355 ","391,472,978,342 ","902,884,232,100 ","497,404,354,219 ","405,479,877,881 ",Ⅰ.매출액,"1,081,764,802,163 ","643,674,596,041 ","54,735,641,723 ","259,073,256 ","9,174,761,761 ","2,203,120,389 ","26,855,535,161 ","1,818,667,530,494 ",,,"1,349,465,143,792 ","898,501,706,698 ","450,963,437,094 ","1,395,699,685,847 ","902,884,232,100 ","492,815,453,748 ",Ⅰ.매출액,"1,517,994,384,047 ","857,840,105,941 ","75,034,672,574 ","412,904,133 ","9,174,761,761 ","3,030,179,658 ","37,068,501,567 ","2,500,555,509,681 ",,,"1,896,009,590,086 ","1,349,465,143,792 ","546,544,446,294 ","1,978,495,535,892 ","1,395,699,685,847 ","582,795,850,045 "
제품매출,"385,145,334,205 ",0 ,0 ,0 ,0 ,0 ,0 ,"385,145,334,205 ","152,821,040,931 ",,"232,324,293,274 ",,"232,324,293,274 ","253,073,590,144 ",,"253,073,590,144 ",제품매출,"658,267,726,446 ",0 ,0 ,0 ,0 ,0 ,0 ,"658,267,726,446 ","219,457,378,436 ",,"438,810,348,010 ","232,324,293,274 ","206,486,054,736 ","479,015,083,596 ","253,073,590,144 ","225,941,493,452 ",제품매출,"1,072,449,227,450 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,072,449,227,450 ","468,739,413,983 ",,"603,709,813,467 ","438,810,348,010 ","164,899,465,457 ","675,146,527,829 ","479,015,083,596 ","196,131,444,233 ",제품매출,"1,503,186,362,217 ",0 ,0 ,0 ,0 ,0 ,0 ,"1,503,186,362,217 ","603,830,821,889 ",,"899,355,540,328 ","603,709,813,467 ","295,645,726,861 ","1,013,622,147,816 ","675,146,527,829 ","338,475,619,987 "
상품매출,"2,638,416,549 ","238,976,466,010 ","22,210,967,788 ",0 ,0 ,0 ,"6,544,715,573 ","270,370,565,920 ",,,"270,370,565,920 ",,"270,370,565,920 ","239,007,860,037 ",,"239,007,860,037 ",상품매출,"4,109,163,916 ","393,520,251,366 ","39,176,268,607 ",0 ,0 ,0 ,"13,406,051,270 ","450,211,735,159 ","51,432,851 ",,"450,160,302,308 ","270,370,565,920 ","179,789,736,388 ","407,037,042,170 ","239,007,860,037 ","168,029,182,133 ",상품매출,"6,321,248,140 ","643,674,596,041 ","54,735,641,723 ",0 ,0 ,0 ,"19,460,297,901 ","724,191,783,805 ","51,432,851 ",,"724,140,350,954 ","450,160,302,308 ","273,980,048,646 ","693,175,877,402 ","407,037,042,170 ","286,138,835,232 ",상품매출,"10,547,461,084 ","857,840,105,941 ","75,034,672,574 ",0 ,0 ,0 ,"27,438,567,272 ","970,860,806,871 ","75,211,698 ",,"970,785,595,173 ","724,140,350,954 ","246,645,244,219 ","931,096,193,727 ","693,175,877,402 ","237,920,316,325 "
수수료매출,"359,632,715 ",0 ,0 ,"66,341,830 ",0 ,0 ,0 ,"425,974,545 ","66,341,830 ",,"359,632,715 ",,"359,632,715 ","350,610,723 ",,"350,610,723 ",수수료매출,"715,914,933 ",0 ,0 ,"149,656,403 ",0 ,0 ,0 ,"865,571,336 ","149,656,403 ",,"715,914,933 ","359,632,715 ","356,282,218 ","729,915,961 ","350,610,723 ","379,305,238 ",수수료매출,"1,017,823,751 ",0 ,0 ,"259,073,256 ",0 ,0 ,0 ,"1,276,897,007 ","259,073,256 ",,"1,017,823,751 ","715,914,933 ","301,908,818 ","1,022,934,653 ","729,915,961 ","293,018,692 ",수수료매출,"1,475,449,381 ",0 ,0 ,"412,904,133 ",0 ,0 ,0 ,"1,888,353,514 ","412,904,133 ",,"1,475,449,381 ","1,017,823,751 ","457,625,630 ","1,508,969,019 ","1,022,934,653 ","486,034,366 "
물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
임대매출,"68,412,771 ",0 ,0 ,0 ,0 ,0 ,0 ,"68,412,771 ",,,"68,412,771 ",,"68,412,771 ","82,442,875 ",,"82,442,875 ",임대매출,"138,063,729 ",0 ,0 ,0 ,0 ,0 ,0 ,"138,063,729 ",,,"138,063,729 ","68,412,771 ","69,650,958 ","136,261,374 ","82,442,875 ","53,818,499 ",임대매출,"207,749,228 ",0 ,0 ,0 ,0 ,0 ,0 ,"207,749,228 ",,,"207,749,228 ","138,063,729 ","69,685,499 ","210,126,112 ","136,261,374 ","73,864,738 ",임대매출,"278,045,591 ",0 ,0 ,0 ,0 ,0 ,0 ,"278,045,591 ",,,"278,045,591 ","207,749,228 ","70,296,363 ","282,673,047 ","210,126,112 ","72,546,935 "
기타매출,"640,049,700 ",0 ,0 ,0 ,"212,270,514 ","416,486,911 ","2,663,745,467 ","3,932,552,592 ","26,728,917 ",,"3,905,823,675 ",,"3,905,823,675 ","4,889,850,440 ",,"4,889,850,440 ",기타매출,"1,253,453,709 ",0 ,0 ,0 ,"899,983,681 ","1,424,483,639 ","5,193,552,880 ","8,771,473,909 ","94,396,191 ",,"8,677,077,718 ","3,905,823,675 ","4,771,254,042 ","15,965,928,999 ","4,889,850,440 ","11,076,078,559 ",기타매출,"1,768,753,594 ",0 ,0 ,0 ,"9,174,761,761 ","2,203,120,389 ","7,395,237,260 ","20,541,873,004 ","152,466,612 ",,"20,389,406,392 ","8,677,077,718 ","11,712,328,674 ","26,144,219,851 ","15,965,928,999 ","10,178,290,853 ",기타매출,"2,507,065,774 ",0 ,0 ,0 ,"9,174,761,761 ","3,030,179,658 ","9,629,934,295 ","24,341,941,488 ","226,981,875 ",,"24,114,959,613 ","20,389,406,392 ","3,725,553,221 ","31,985,552,283 ","26,144,219,851 ","5,841,332,432 "
Ⅱ.매출원가,"147,627,921,735 ","173,679,290,723 ","9,231,211,168 ","60,310,754 ","2,107,858 ","2,714,089,430 ","2,030,524,971 ","335,345,456,639 ",,,"174,544,756,914 ",,"174,544,756,914 ","153,411,723,505 ",,"153,411,723,505 ",Ⅱ.매출원가,"237,433,472,915 ","277,314,653,381 ","16,459,690,740 ","141,137,157 ","539,348,570 ","5,530,953,121 ","4,174,914,899 ","541,594,170,783 ",,,"294,719,207,924 ","174,544,756,914 ","120,174,451,010 ","274,544,489,738 ","153,411,723,505 ","121,132,766,233 ",Ⅱ.매출원가,"396,224,815,943 ","476,141,102,669 ","23,594,777,765 ","232,594,629 ","12,529,846,100 ","7,145,369,986 ","6,415,612,709 ","922,284,119,801 ",,,"460,761,386,335 ","294,719,207,924 ","166,042,178,411 ","437,285,681,633 ","274,544,489,738 ","162,741,191,896 ",Ⅱ.매출원가,"543,612,869,754 ","664,165,614,101 ","32,066,624,956 ","348,708,539 ","12,529,846,100 ","14,353,887,298 ","9,008,348,187 ","1,276,085,898,935 ",,,"649,017,053,962 ","460,761,386,335 ","188,255,667,626 ","632,257,078,941 ","437,285,681,633 ","194,971,397,308 "
제품매출원가,"142,846,256,748 ",0 ,0 ,0 ,0 ,0 ,0 ,"142,846,256,748 ","182,910,501,891 ","160,740,388,971 ","165,016,369,668 ",,"165,016,369,668 ","145,902,476,470 ",,"145,902,476,470 ",제품매출원가,"231,435,219,594 ",0 ,0 ,0 ,0 ,0 ,0 ,"231,435,219,594 ","293,774,344,121 ","246,733,825,702 ","278,475,738,013 ","165,016,369,668 ","113,459,368,345 ","257,070,950,384 ","145,902,476,470 ","111,168,473,914 ",제품매출원가,"389,180,691,135 ",0 ,0 ,0 ,0 ,0 ,0 ,"389,180,691,135 ","499,735,880,434 ","461,809,231,179 ","427,107,340,390 ","278,475,738,013 ","148,631,602,377 ","410,007,082,372 ","257,070,950,384 ","152,936,131,988 ",제품매출원가,"533,272,821,350 ",0 ,0 ,0 ,0 ,0 ,0 ,"533,272,821,350 ","696,232,239,057 ","627,239,228,776 ","602,265,831,631 ","427,107,340,390 ","175,158,491,241 ","590,545,050,329 ","410,007,082,372 ","180,537,967,957 "
기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,0 ,,0 ,기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
