25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 03월 31일,2024년 12월 31일,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 06월 30일,2024년 12월 31일,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 09월 30일,2024년 12월 31일,과  목, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 12월 31일,2024년 12월 31일
Ⅰ.유동자산,"452,307,440,260","220,601,566,875","46,719,250,972","112,263,400",0,"2,418,454,195","36,563,615,310","758,722,591,012",,,,,"621,430,482,596","636,793,849,985",Ⅰ.유동자산,"408,047,402,218","167,130,021,699","41,048,325,495","107,927,131",0,"3,125,003,679","33,539,129,100","652,997,809,322",,,,,"539,401,386,176","636,793,849,985",Ⅰ.유동자산,"664,251,470,089","430,259,230,469","45,030,393,730","92,579,570",0,"2,225,758,405","43,158,252,737","1,185,017,685,000",,,,,"861,218,494,683","636,793,849,985",Ⅰ.유동자산,"664,251,470,089","430,259,230,469","45,030,393,730","92,579,570",0,"2,225,758,405","43,158,252,737","1,185,017,685,000",,,,,"861,218,494,683","636,793,849,985"
(1)당좌자산,"237,400,823,465","92,094,888,334","13,166,315,481","112,263,400",0,"2,373,065,817","25,659,990,567","370,807,347,064",,,,,"301,232,532,561","308,616,293,091",(1)당좌자산,"200,418,281,129","53,308,459,914","11,788,011,803","107,927,131",0,"3,079,630,886","22,445,612,003","291,147,922,866",,,,,"235,908,802,652","308,616,293,091",(1)당좌자산,"420,675,019,866","148,286,431,192","10,864,917,626","92,579,570",0,"2,159,934,433","28,977,128,660","611,056,011,347",,,,,"443,950,666,775","308,616,293,091",(1)당좌자산,"420,675,019,866","148,286,431,192","10,864,917,626","92,579,570",0,"2,159,934,433","28,977,128,660","611,056,011,347",,,,,"443,950,666,775","308,616,293,091"
현금및현금성자산,"79,495,598,457","60,403,717,502","7,022,462,133","59,736,800",0,"778,985,781","16,283,463,009","164,043,963,682",0,0,,,"164,043,963,682","119,832,549,324",현금및현금성자산,"88,734,511,932","20,310,935,986","4,732,115,842","60,350,607",0,"360,631,119","12,241,086,888","126,439,632,374",0,0,,,"126,439,632,374","119,832,549,324",현금및현금성자산,"182,075,014,512","9,318,297,765","4,446,405,823","62,051,081",0,"983,516,231","11,399,745,852","208,285,031,264",0,0,,,"208,285,031,264","119,832,549,324",현금및현금성자산,"182,075,014,512","9,318,297,765","4,446,405,823","62,051,081",0,"983,516,231","11,399,745,852","208,285,031,264",0,0,,,"208,285,031,264","119,832,549,324"
기타유동금융자산,0,0,0,0,0,0,0,0,,,,,0,"6,388,100,000",기타유동금융자산,0,0,0,0,0,0,0,0,,,,,0,"6,388,100,000",기타유동금융자산,0,"27,554,800,000",0,0,0,0,0,"27,554,800,000",,,,,"27,554,800,000","6,388,100,000",기타유동금융자산,0,"27,554,800,000",0,0,0,0,0,"27,554,800,000",,,,,"27,554,800,000","6,388,100,000"
통화선도,0,0,0,0,0,0,0,0,,,,,0,0,통화선도,0,0,0,0,0,0,0,0,,,,,0,0,통화선도,0,0,0,0,0,0,0,0,,,,,0,0,통화선도,0,0,0,0,0,0,0,0,,,,,0,0
(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0,(유동)당기손익-공정가치측정금융자산,0,0,0,0,0,0,0,0,,,,,0,0
매출채권,"123,192,933,095","20,895,952,759","2,465,185,086","45,731,725",0,"470,814,944","8,620,687,026","155,691,304,635",,"64,452,451,666",,,"91,238,852,969","137,982,242,258",매출채권,"81,952,788,031","8,792,608,921","3,323,877,568","44,184,698",0,"544,120,142","7,117,396,279","101,774,975,639",,"40,596,723,108",,,"61,178,252,531","137,982,242,258",매출채권,"205,308,960,481","97,531,240,886","2,871,156,413","28,225,603",0,"514,577,410","16,277,397,007","322,531,557,800",,"163,422,991,610",,,"159,108,566,190","137,982,242,258",매출채권,"205,308,960,481","97,531,240,886","2,871,156,413","28,225,603",0,"514,577,410","16,277,397,007","322,531,557,800",,"163,422,991,610",,,"159,108,566,190","137,982,242,258"
매출채권대손충당금,"-1,799,297,854",0,0,0,0,0,"-4,317,129,782","-6,116,427,636",,,,,"-6,116,427,636","-4,156,184,511",매출채권대손충당금,"-1,504,333,349",0,0,0,0,"-3,300,000","-2,151,829,601","-3,659,462,950",,,,,"-3,659,462,950","-4,156,184,511",매출채권대손충당금,"-1,533,502,255",0,0,0,0,"-3,300,000","-4,779,059,235","-6,315,861,490",,,,,"-6,315,861,490","-4,156,184,511",매출채권대손충당금,"-1,533,502,255",0,0,0,0,"-3,300,000","-4,779,059,235","-6,315,861,490",,,,,"-6,315,861,490","-4,156,184,511"
미수금,"19,387,674,115",0,"3,512,819","3,444,441",0,"188,386,325","2,771,342,500","22,354,360,200",,"2,927,854,289",,,"19,426,505,911","19,384,660,745",미수금,"17,007,365,716","6,493,892,375","3,311,700","2,033,845",0,"164,406,595","3,053,980,541","26,724,990,772",,"2,729,798,583",,,"23,995,192,189","19,384,660,745",미수금,"19,937,459,286","4,667,949,482","13,330,929","2,076,868",0,"51,710,345","3,274,013,022","27,946,539,932",,"1,196,978,432",,,"26,749,561,500","19,384,660,745",미수금,"19,937,459,286","4,667,949,482","13,330,929","2,076,868",0,"51,710,345","3,274,013,022","27,946,539,932",,"1,196,978,432",,,"26,749,561,500","19,384,660,745"
미수금대손충당금,"-138,218,849",0,0,0,0,0,0,"-138,218,849",,,,,"-138,218,849","-142,628,015",미수금대손충당금,"-151,900,335",0,0,0,0,0,0,"-151,900,335",,,,,"-151,900,335","-142,628,015",미수금대손충당금,"-177,386,488",0,0,0,0,0,0,"-177,386,488",,,,,"-177,386,488","-142,628,015",미수금대손충당금,"-177,386,488",0,0,0,0,0,0,"-177,386,488",,,,,"-177,386,488","-142,628,015"
유동성보증금,"5,368,899,357","2,251,949,829","2,741,804,297",0,0,0,"135,595,450","10,498,248,933",,,,,"10,498,248,933","10,609,414,351",유동성보증금,"3,612,891,357","1,546,728,576","2,874,641,701",0,0,0,"67,493,596","8,101,755,230",,,,,"8,101,755,230","10,609,414,351",유동성보증금,"4,322,891,357","2,390,335,846","2,539,880,367",0,0,0,"501,465,351","9,754,572,921",,,,,"9,754,572,921","10,609,414,351",유동성보증금,"4,322,891,357","2,390,335,846","2,539,880,367",0,0,0,"501,465,351","9,754,572,921",,,,,"9,754,572,921","10,609,414,351"
현재가치할인차금(유동),"-68,140,765","-196,567,920",0,0,0,0,0,"-264,708,685",,,,,"-264,708,685","-340,348,978",현재가치할인차금(유동),"-13,590,776","-165,864,839",0,0,0,0,0,"-179,455,615",,,,,"-179,455,615","-340,348,978",현재가치할인차금(유동),"-21,080,598","-176,133,764",0,0,0,0,0,"-197,214,362",,,,,"-197,214,362","-340,348,978",현재가치할인차금(유동),"-21,080,598","-176,133,764",0,0,0,0,0,"-197,214,362",,,,,"-197,214,362","-340,348,978"
유동리스채권(순투자),"395,298,915",0,0,0,0,0,0,"395,298,915",,,,,"395,298,915","552,326,500",유동리스채권(순투자),"19,472,295",0,0,0,0,0,0,"19,472,295",,,,,"19,472,295","552,326,500",유동리스채권(순투자),"19,847,355",0,0,0,0,0,0,"19,847,355",,,,,"19,847,355","552,326,500",유동리스채권(순투자),"19,847,355",0,0,0,0,0,0,"19,847,355",,,,,"19,847,355","552,326,500"
단기대여금,0,0,0,0,0,0,"3,879,071,628","3,879,071,628",,0,,,"3,879,071,628","3,888,329,556",단기대여금,0,0,0,0,0,0,"3,587,843,680","3,587,843,680",,0,,,"3,587,843,680","3,888,329,556",단기대여금,0,0,0,0,0,0,"3,708,990,274","3,708,990,274",,0,,,"3,708,990,274","3,888,329,556",단기대여금,0,0,0,0,0,0,"3,708,990,274","3,708,990,274",,0,,,"3,708,990,274","3,888,329,556"
단기대여금대손충당금,0,0,0,0,0,0,"-3,879,071,628","-3,879,071,628",,,,,"-3,879,071,628","-3,888,329,556",단기대여금대손충당금,0,0,0,0,0,0,"-3,587,843,680","-3,587,843,680",,,,,"-3,587,843,680","-3,888,329,556",단기대여금대손충당금,0,0,0,0,0,0,"-3,708,990,274","-3,708,990,274",,,,,"-3,708,990,274","-3,888,329,556",단기대여금대손충당금,0,0,0,0,0,0,"-3,708,990,274","-3,708,990,274",,,,,"-3,708,990,274","-3,888,329,556"
미수수익,"1,085,913,842",0,0,0,0,0,0,"1,085,913,842",,"1,085,913,842",,,0,"930,329",미수수익,"1,472,059,670",0,0,0,0,0,0,"1,472,059,670",,"1,472,059,670",,,0,"930,329",미수수익,"1,541,190,515",0,0,0,0,0,0,"1,541,190,515",,"1,541,190,515",,,0,"930,329",미수수익,"1,541,190,515",0,0,0,0,0,0,"1,541,190,515",,"1,541,190,515",,,0,"930,329"
