25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,,25.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 ,,,, 단순합계 ,연결조정분개,, 연결IS ,,,,,
과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기,과  목,별도재무제표,IFRS,IFRS,IFRS,IFRS,IFRS, STIP , STO , Dr , Cr ,IFRS,Dr,Cr,2025년 누적,2025년 전분기 누적,2025년 당분기,2024년 누적,2024년 전분기 누적,2024년 당분기
Ⅰ.매출액,"396,770,288,842 ","258,540,056,726 ","20,662,713,081 ","133,758,569 ",0 ,"761,317,700 ","31,675,033 ","8,505,474,308 ",,0 ,"685,373,609,226 ",,,"505,616,173,458 ",,"505,616,173,458 ","507,028,728,355 ",,"507,028,728,355 ",Ⅰ.매출액,"704,163,100,078 ","429,243,111,053 ","36,404,862,249 ","287,208,944 ",0 ,"1,894,332,916 ","52,180,455 ","17,474,210,738 ",,0 ,"1,189,466,825,978 ",,,"884,486,987,611 ","505,616,173,458 ","378,870,814,153 ","898,501,706,698 ","507,028,728,355 ","391,472,978,343 ",Ⅰ.매출액,"1,214,833,860,358 ","713,162,383,032 ","53,313,156,933 ","424,671,086 ",0 ,"4,629,990,147 ","85,594,490 ","33,405,978,310 ",,0 ,"2,019,770,039,866 ",,,"1,358,744,179,377 ","884,486,987,611 ","474,257,191,766 ","1,349,465,143,792 ","898,501,706,698 ","450,963,437,094 ",Ⅰ.매출액,"1,214,833,860,358 ","713,162,383,032 ","53,313,156,933 ","424,671,086 ",0 ,"4,629,990,147 ","85,594,490 ","33,405,978,310 ",,0 ,"2,019,770,039,866 ",,,"1,358,744,179,377 ","884,486,987,611 ","474,257,191,766 ","1,349,465,143,792 ","898,501,706,698 ","450,963,437,094 "
제품매출,"393,778,668,434 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"393,778,668,434 ","179,552,105,905 ",,"214,226,562,529 ",,"214,226,562,529 ","232,324,293,274 ",,"232,324,293,274 ",제품매출,"698,781,248,266 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"698,781,248,266 ","304,242,955,269 ",,"394,538,292,997 ","214,226,562,529 ","180,311,730,468 ","438,810,348,010 ","232,324,293,274 ","206,486,054,736 ",제품매출,"1,206,176,352,586 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"1,206,176,352,586 ","660,315,894,204 ",,"545,860,458,382 ","394,538,292,997 ","151,322,165,385 ","603,709,813,467 ","438,810,348,010 ","164,899,465,457 ",제품매출,"1,206,176,352,586 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"1,206,176,352,586 ","660,315,894,204 ",,"545,860,458,382 ","394,538,292,997 ","151,322,165,385 ","603,709,813,467 ","438,810,348,010 ","164,899,465,457 "
상품매출,"2,082,727,180 ","258,540,056,726 ","20,662,713,081 ",0 ,0 ,0 ,0 ,"6,076,220,865 ",,,"287,361,717,852 ",0 ,,"287,361,717,852 ",,"287,361,717,852 ","270,370,565,920 ",,"270,370,565,920 ",상품매출,"3,382,108,573 ","429,243,111,053 ","36,404,862,249 ",0 ,0 ,0 ,0 ,"12,944,324,150 ",,,"481,974,406,025 ","3,575,923 ",,"481,970,830,102 ","287,361,717,852 ","194,609,112,250 ","450,160,302,308 ","270,370,565,920 ","179,789,736,388 ",상품매출,"5,282,113,246 ","713,162,383,032 ","53,313,156,933 ",0 ,0 ,0 ,0 ,"19,259,794,277 ",,,"791,017,447,488 ","23,691,073 ",,"790,993,756,415 ","481,970,830,102 ","309,022,926,313 ","724,140,350,954 ","450,160,302,308 ","273,980,048,646 ",상품매출,"5,282,113,246 ","713,162,383,032 ","53,313,156,933 ",0 ,0 ,0 ,0 ,"19,259,794,277 ",,,"791,017,447,488 ","23,691,073 ",,"790,993,756,415 ","481,970,830,102 ","309,022,926,313 ","724,140,350,954 ","450,160,302,308 ","273,980,048,646 "
수수료매출,"333,425,892 ",0 ,0 ,"133,758,569 ",0 ,0 ,0 ,0 ,,,"467,184,461 ","142,834,610 ",,"324,349,851 ",,"324,349,851 ","359,632,715 ",,"359,632,715 ",수수료매출,"592,781,265 ",0 ,0 ,"287,208,944 ",0 ,0 ,0 ,0 ,,,"879,990,209 ","287,208,944 ",,"592,781,265 ","324,349,851 ","268,431,414 ","715,914,933 ","359,632,715 ","356,282,218 ",수수료매출,"811,042,490 ",0 ,0 ,"424,671,086 ",0 ,0 ,0 ,0 ,,,"1,235,713,576 ","424,671,086 ",,"811,042,490 ","592,781,265 ","218,261,225 ","1,017,823,751 ","715,914,933 ","301,908,818 ",수수료매출,"811,042,490 ",0 ,0 ,"424,671,086 ",0 ,0 ,0 ,0 ,,,"1,235,713,576 ","424,671,086 ",,"811,042,490 ","592,781,265 ","218,261,225 ","1,017,823,751 ","715,914,933 ","301,908,818 "
물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,,0 ,0 ,,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,,0 ,0 ,0 ,0 ,0 ,0 
임대매출,"70,856,796 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"70,856,796 ",,,"70,856,796 ",,"70,856,796 ","68,412,771 ",,"68,412,771 ",임대매출,"449,061,603 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"449,061,603 ",,,"449,061,603 ","70,856,796 ","378,204,807 ","138,063,729 ","68,412,771 ","69,650,958 ",임대매출,"1,012,960,836 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"1,012,960,836 ",,,"1,012,960,836 ","449,061,603 ","563,899,233 ","207,749,228 ","138,063,729 ","69,685,499 ",임대매출,"1,012,960,836 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"1,012,960,836 ",,,"1,012,960,836 ","449,061,603 ","563,899,233 ","207,749,228 ","138,063,729 ","69,685,499 "
기타매출,"504,610,540 ",0 ,0 ,0 ,0 ,"761,317,700 ","31,675,033 ","2,429,253,443 ","31,675,033 ",,"3,695,181,683 ","62,495,253 ",,"3,632,686,430 ",,"3,632,686,430 ","3,905,823,675 ",,"3,905,823,675 ",기타매출,"957,900,371 ",0 ,0 ,0 ,0 ,"1,894,332,916 ","52,180,455 ","4,529,886,588 ","52,180,455 ",,"7,382,119,875 ","446,098,231 ",,"6,936,021,644 ","3,632,686,430 ","3,303,335,214 ","8,677,077,718 ","3,905,823,675 ","4,771,254,043 ",기타매출,"1,551,391,200 ",0 ,0 ,0 ,0 ,"4,629,990,147 ","85,594,490 ","14,146,184,033 ","85,594,490 ",,"20,327,565,380 ","261,604,126 ",,"20,065,961,254 ","6,936,021,644 ","13,129,939,610 ","20,389,406,392 ","8,677,077,718 ","11,712,328,674 ",기타매출,"1,551,391,200 ",0 ,0 ,0 ,0 ,"4,629,990,147 ","85,594,490 ","14,146,184,033 ","85,594,490 ",,"20,327,565,380 ","261,604,126 ",,"20,065,961,254 ","6,936,021,644 ","13,129,939,610 ","20,389,406,392 ","8,677,077,718 ","11,712,328,674 "
Ⅱ.매출원가,"145,093,356,692 ","203,777,800,995 ","9,671,179,051 ","115,046,874 ",0 ,"1,530,162,809 ",0 ,"1,998,020,856 ",,,"362,153,892,244 ",,,"175,882,872,584 ",,"175,882,872,584 ","174,544,756,914 ",,"174,544,756,914 ",Ⅱ.매출원가,"247,870,994,951 ","338,999,597,716 ","16,659,260,566 ","266,462,816 ",0 ,"3,585,643,122 ",0 ,"4,355,748,065 ",,,"611,685,526,781 ",,,"295,847,224,008 ","175,882,872,584 ","119,964,351,424 ","294,719,207,924 ","174,544,756,914 ","120,174,451,010 ",Ⅱ.매출원가,"449,911,877,598 ","547,506,021,133 ","24,678,725,603 ","412,140,429 ",0 ,"8,124,655,289 ",0 ,"7,233,216,045 ",,,"1,037,781,041,607 ",,,"461,149,814,540 ","295,847,224,008 ","165,302,590,532 ","460,761,386,335 ","294,719,207,924 ","166,042,178,411 ",Ⅱ.매출원가,"449,911,877,598 ","547,506,021,133 ","24,678,725,603 ","412,140,429 ",0 ,"8,124,655,289 ",0 ,"7,233,216,045 ",,,"1,037,781,041,607 ",,,"461,149,814,540 ","295,847,224,008 ","165,302,590,532 ","460,761,386,335 ","294,719,207,924 ","166,042,178,411 "
제품매출원가,"142,911,348,597 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"142,911,348,597 ","213,448,980,046 ","186,155,972,785 ","170,204,355,858 ",,"170,204,355,857 ","165,016,369,668 ",,"165,016,369,668 ",제품매출원가,"244,825,140,208 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"244,825,140,208 ","355,658,858,282 ","315,571,839,957 ","284,912,158,533 ","170,204,355,857 ","114,707,802,676 ","278,475,738,013 ","165,016,369,668 ","113,459,368,345 ",제품매출원가,"445,041,433,910 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"445,041,433,910 ","572,184,746,736 ","576,219,086,638 ","441,007,094,008 ","284,912,158,533 ","156,094,935,475 ","427,107,340,390 ","278,475,738,013 ","148,631,602,377 ",제품매출원가,"445,041,433,910 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,"445,041,433,910 ","572,184,746,736 ","576,219,086,638 ","441,007,094,008 ","284,912,158,533 ","156,094,935,475 ","427,107,340,390 ","278,475,738,013 ","148,631,602,377 "
