25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 1분기 연결,25.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 2분기 연결,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 3분기,25.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2025년 누적,2025년 전분기 누적,2025년 4분기,
Ⅰ.매출액,"396,770,288,842 ","258,540,056,726 ","20,662,713,081 ","133,758,569 ",0 ,"761,317,700 ","8,505,474,308 ","685,373,609,226 ",,,"505,616,173,458 ",,"505,616,173,458 ",Ⅰ.매출액,"307,392,811,236 ","170,703,054,327 ","15,742,149,168 ","153,450,375 ",0 ,"1,133,015,216 ","8,968,736,431 ","504,093,216,753 ",0 ,0 ,"884,486,987,611 ","505,616,173,458 ","378,870,814,153 ",Ⅰ.매출액,"510,670,760,280 ","283,919,271,979 ","16,908,294,684 ","137,462,142 ",0 ,"2,735,657,231 ","15,931,767,572 ","830,303,213,888 ",0 ,0 ,"1,358,744,179,377 ","884,486,987,611 ","474,257,191,766 ",Ⅰ.매출액,"479,861,823,639 ","247,171,567,712 ","22,961,671,894 ","231,686,997 ",0 ,"2,530,759,004 ","15,155,509,319 ","767,913,018,565 ",0 ,0 ,"1,933,995,926,896 ","1,358,744,179,377 ","575,251,747,518 ",
제품매출,"393,778,668,434 ",0 ,0 ,0 ,0 ,0 ,0 ,"393,778,668,434 ","179,552,105,905 ",,"214,226,562,529 ",,"214,226,562,529 ",제품매출,"305,002,579,832 ",0 ,0 ,0 ,0 ,0 ,0 ,"305,002,579,832 ","124,690,849,364 ",0 ,"394,538,292,997 ","214,226,562,529 ","180,311,730,468 ",제품매출,"507,395,104,320 ",0 ,0 ,0 ,0 ,0 ,0 ,"507,395,104,320 ","356,072,938,935 ",0 ,"545,860,458,382 ","394,538,292,997 ","151,322,165,385 ",제품매출,"475,856,469,594 ",0 ,0 ,0 ,0 ,0 ,0 ,"475,856,469,594 ","192,320,059,113 ",0 ,"829,396,868,863 ","545,860,458,382 ","283,536,410,481 ",
상품매출,"2,082,727,180 ","258,540,056,726 ","20,662,713,081 ",0 ,0 ,0 ,"6,076,220,865 ","287,361,717,852 ",0 ,,"287,361,717,852 ",,"287,361,717,852 ",상품매출,"1,299,381,393 ","170,703,054,327 ","15,742,149,168 ",0 ,0 ,0 ,"6,868,103,285 ","194,612,688,173 ","3,575,923 ",0 ,"481,970,830,102 ","287,361,717,852 ","194,609,112,250 ",상품매출,"1,900,004,673 ","283,919,271,979 ","16,908,294,684 ",0 ,0 ,0 ,"6,315,470,127 ","309,043,041,463 ","20,115,150 ",0 ,"790,993,756,415 ","481,970,830,102 ","309,022,926,313 ",상품매출,"2,115,009,378 ","247,171,567,712 ","22,961,671,894 ",0 ,0 ,0 ,"11,048,343,483 ","283,296,592,467 ","2,553,639 ",0 ,"1,074,287,795,243 ","790,993,756,415 ","283,294,038,828 ",
수수료매출,"333,425,892 ",0 ,0 ,"133,758,569 ",0 ,0 ,0 ,"467,184,461 ","142,834,610 ",,"324,349,851 ",,"324,349,851 ",수수료매출,"259,355,373 ",0 ,0 ,"153,450,375 ",0 ,0 ,0 ,"412,805,748 ","144,374,334 ",0 ,"592,781,265 ","324,349,851 ","268,431,414 ",수수료매출,"218,261,225 ",0 ,0 ,"137,462,142 ",0 ,0 ,0 ,"355,723,367 ","137,462,142 ",0 ,"811,042,490 ","592,781,265 ","218,261,225 ",수수료매출,"348,538,359 ",0 ,0 ,"231,686,997 ",0 ,0 ,0 ,"580,225,356 ","231,686,997 ",0 ,"1,159,580,849 ","811,042,490 ","348,538,359 ",
물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류매출,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
임대매출,"70,856,796 ",0 ,0 ,0 ,0 ,0 ,0 ,"70,856,796 ",,,"70,856,796 ",,"70,856,796 ",임대매출,"378,204,807 ",0 ,0 ,0 ,0 ,0 ,0 ,"378,204,807 ",0 ,0 ,"449,061,603 ","70,856,796 ","378,204,807 ",임대매출,"563,899,233 ",0 ,0 ,0 ,0 ,0 ,0 ,"563,899,233 ",0 ,0 ,"1,012,960,836 ","449,061,603 ","563,899,233 ",임대매출,"717,824,245 ",0 ,0 ,0 ,0 ,0 ,0 ,"717,824,245 ",0 ,0 ,"1,730,785,081 ","1,012,960,836 ","717,824,245 ",
기타매출,"504,610,540 ",0 ,0 ,0 ,0 ,"761,317,700 ","2,429,253,443 ","3,695,181,683 ","62,495,253 ",,"3,632,686,430 ",,"3,632,686,430 ",기타매출,"453,289,831 ",0 ,0 ,0 ,0 ,"1,133,015,216 ","2,100,633,146 ","3,686,938,193 ","383,602,978 ",0 ,"6,936,021,644 ","3,632,686,430 ","3,303,335,214 ",기타매출,"593,490,829 ",0 ,0 ,0 ,0 ,"2,735,657,231 ","9,616,297,445 ","12,945,445,505 ","(184,494,105)",0 ,"20,065,961,254 ","6,936,021,644 ","13,129,939,610 ",기타매출,"823,982,063 ",0 ,0 ,0 ,0 ,"2,530,759,004 ","4,107,165,836 ","7,461,906,903 ","106,971,298 ",0 ,"27,420,896,860 ","20,065,961,254 ","7,354,935,605 ",
Ⅱ.매출원가,"145,093,356,692 ","203,777,800,995 ","9,671,179,051 ","115,046,874 ",0 ,"1,530,162,809 ","1,966,345,823 ","362,153,892,244 ",,,"175,882,872,584 ",,"175,882,872,584 ",Ⅱ.매출원가,"102,777,638,259 ","135,221,796,721 ","6,988,081,515 ","151,415,942 ",0 ,"2,055,480,313 ","2,337,221,788 ","249,531,634,538 ",0 ,0 ,"295,847,224,008 ","175,882,872,584 ","119,964,351,423 ",Ⅱ.매출원가,"202,040,882,647 ","208,506,423,417 ","8,019,465,037 ","145,677,613 ",0 ,"4,539,012,167 ","2,844,053,945 ","426,095,514,826 ",0 ,0 ,"461,149,814,540 ","295,847,224,008 ","165,302,590,532 ",Ⅱ.매출원가,"170,198,658,739 ","183,758,529,630 ","10,131,376,881 ","192,529,525 ",0 ,"4,357,770,233 ","5,427,754,877 ","374,066,619,885 ",0 ,0 ,"642,187,339,867 ","461,149,814,540 ","181,037,525,327 ",
제품매출원가,"142,911,348,597 ",0 ,0 ,0 ,0 ,0 ,0 ,"142,911,348,597 ","213,448,980,046 ","186,155,972,785 ","170,204,355,858 ",,"170,204,355,857 ",제품매출원가,"101,913,791,611 ",0 ,0 ,0 ,0 ,0 ,0 ,"101,913,791,611 ","142,209,878,236 ","129,415,867,172 ","284,912,158,533 ","170,204,355,857 ","114,707,802,676 ",제품매출원가,"200,216,293,702 ",0 ,0 ,0 ,0 ,0 ,0 ,"200,216,293,702 ","216,525,888,454 ","260,647,246,681 ","441,007,094,008 ","284,912,158,533 ","156,094,935,475 ",제품매출원가,"168,247,675,833 ",0 ,0 ,0 ,0 ,0 ,0 ,"168,247,675,833 ","193,889,906,511 ","192,836,565,033 ","610,308,111,318 ","441,007,094,008 ","169,301,017,311 ",
기초제품재고액,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,기초제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,기초제품재고액,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
