연결 I/S 정산표,대시보드분류
과  목,과  목
과  목,과  목
Ⅰ.매출액,Ⅰ.매출액
제품매출,Ⅰ.매출액
상품매출,Ⅰ.매출액
수수료매출,Ⅰ.매출액
물류매출,Ⅰ.매출액
임대매출,Ⅰ.매출액
기타매출,Ⅰ.매출액
Ⅱ.매출원가,Ⅱ.매출원가
제품매출원가,Ⅱ.매출원가
기초제품재고액,Ⅱ.매출원가
당기제품제조원가,Ⅱ.매출원가
타계정대체(제품),Ⅱ.매출원가
관세환급금,Ⅱ.매출원가
기말제품재고액,Ⅱ.매출원가
상품매출원가,Ⅱ.매출원가
기초상품재고액,Ⅱ.매출원가
당기매입액,Ⅱ.매출원가
타계정대체(상품),Ⅱ.매출원가
기말상품재고액,Ⅱ.매출원가
임대원가,Ⅱ.매출원가
물류원가,Ⅱ.매출원가
기타매출원가,Ⅱ.매출원가
Ⅲ.매출총이익,Ⅲ.매출총이익
Ⅳ.판매비와관리비,Ⅳ.판매비와관리비
급여,(1)인건비
퇴직급여,(1)인건비
복리후생비,(5)기타
여비교통비,(5)기타
통신비,(5)기타
수도광열비,(5)기타
세금과공과,(5)기타
임차료,(5)기타
대손상각비,(5)기타
보험료,(5)기타
광고선전비,(2)광고선전비
차량유지비,(5)기타
교육훈련비,(5)기타
접대비,(5)기타
운반비,(3)수수료
소모품비,(5)기타
지급수수료,(3)수수료
관리수수료,(5)기타
영업운영비,(5)기타
감가상각비,(4)감가상각비
무형자산상각비,(4)감가상각비
도서인쇄비,(5)기타
경상개발비,(5)기타
수선비,(5)기타
아티스트개발비,(5)기타
판매촉진비,(5)기타
판매수수료,(5)기타
판매장려금,(5)기타
수출제비용,(5)기타
잡비,(5)기타
해외시장개척비,(5)기타
용역료,(5)기타
Ⅴ.영업이익,Ⅴ.영업이익
Ⅵ.영업외수익,Ⅵ.영업외손익
이자수익,(4)이자손익
수수료수익,(7)기타손익
임대료수익,(7)기타손익
외화환산이익,(1)외환손익
외환차익,(1)외환손익
배당금수익,(5)배당수익
대손충당금환입,(7)기타손익
무형자산손상차손환입,(7)기타손익
투자부동산처분이익,(7)기타손익
유형자산처분이익,(7)기타손익
무형자산처분이익,(7)기타손익
금융보증부채환입액,(7)기타손익
잡이익,(7)기타손익
단기매매증권평가이익,(3)금융상품손익
단기매매증권처분이익,(3)금융상품손익
파생상품평가이익,(2)선물환손익
당기손익-공정가치측정금융자산 평가이익,(3)금융상품손익
당기손익인식금융자산처분이익,(3)금융상품손익
파생상품거래이익,(2)선물환손익
지분법이익,VII. 지분법손익
관계기업투자주식처분이익,(7)기타손익
종속기업투자주식처분이익,(7)기타손익
Ⅶ.영업외비용,Ⅵ.영업외손익
이자비용,(4)이자손익
외화환산손실,(1)외환손익
외환차손,(1)외환손익
기타의대손상각비,(7)기타손익
금융보증비용,(7)기타손익
기타의금융수수료,(7)기타손익
무형자산폐기손실,(7)기타손익
무형자산손상차손,(7)기타손익
재고자산폐기손실,(7)기타손익
유형자산처분손실,(7)기타손익
유형자산폐기손실,(7)기타손익
유형자산손상차손,(7)기타손익
무형자산처분손실,(7)기타손익
기부금,(6)기부금
지분법손실,VII. 지분법손익
파생상품평가손실,(2)선물환손익
파생상품거래손실,(2)선물환손익
잡손실,(7)기타손익
소송충당부채전입액,(7)기타손익
당기손익-공정가치측정금융자산 평가손실,(3)금융상품손익
종속기업처분손실,(7)기타손익
당기손익인식금융자산처분손실,(3)금융상품손익
Ⅷ.법인세비용차감전순이익,VIII. 법인세비용차감전순이익
Ⅸ.법인세비용,Ⅸ.법인세비용
 계속사업손익,
 중단사업손익,
Ⅹ.당기순이익,Ⅹ.당기순이익
   지배지분,
   비지배지분,
기타포괄손익:,
매도가능금융자산평가손익,
법인세효과,
법인세효과 차감후 금액,
자산재평가이익,
법인세효과,
법인세효과 차감후 금액,
보험수리적손익,
법인세효과,
법인세효과 차감후 금액,
지분법자본변동,
법인세효과,
법인세효과 차감후 금액,
지분법이익잉여금,
법인세효과,
법인세효과 차감후 금액,
해외사업장환산차이,
법인세효과,
법인세효과 차감후 금액,
총포괄이익,
   지배지분,
   비지배지분,
